                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50606,                0.93565,                 3.0234,                 1.0414,                0.59573,                0.44471,                0.51808,                0.43101,                0.59353,                0.44081,                0.51641,                0.43976,                0.51296,                0.93981,                  3.828,                 1.0701,             0.00027304,             0.00027304,             0.00027304
                      2,                0.62197,                0.83792,                 2.2596,                 1.0673,                0.46966,                0.77802,                0.65522,                 0.5126,                0.46664,                0.77236,                0.65522,                0.56409,                0.65418,                0.97693,                 4.1895,                 1.2704,             0.00054525,             0.00054525,             0.00054525
                      3,                0.72342,                0.96457,                 2.2741,                 1.1485,                0.40462,                0.60214,                0.52141,                0.41273,                 0.4075,                0.60531,                0.52107,                 0.4268,                 0.7104,                 1.3644,                 3.6789,                  1.242,             0.00081197,             0.00081197,             0.00081197
                      4,                0.73196,                 1.0943,                 2.2022,                 1.1338,                0.30641,                 0.5955,                0.43036,                0.34184,                0.30641,                 0.5955,                0.43291,                0.35256,                0.69938,                 1.7122,                 4.0008,                 1.2431,             0.00080826,             0.00080826,             0.00080826
                      5,                0.74495,                 1.0622,                 2.0575,                 1.1519,                0.44497,                0.68653,                0.55115,                0.46275,                0.45323,                0.69646,                 0.5607,                0.46372,                0.68899,                 1.5687,                 2.5284,                 1.2275,             0.00080001,             0.00080001,             0.00080001
                      6,                0.69521,                 1.0643,                 1.8757,                 1.1164,                0.53535,                0.64145,                0.59809,                 0.4728,                0.53455,                0.64368,                0.59348,                0.49711,                0.73986,                 1.1641,                 2.2876,                 1.2386,             0.00079177,             0.00079177,             0.00079177
                      7,                0.66087,                0.88931,                 1.7311,                 1.0621,                0.56401,                0.66285,                0.66986,                 0.5446,                0.56869,                0.66676,                0.67689,                0.58246,                0.61848,                0.91374,                 1.8134,                  1.182,             0.00078352,             0.00078352,             0.00078352
                      8,                0.65212,                0.88174,                  1.751,                 1.0641,                0.57372,                0.75868,                  0.712,                 0.5805,                0.57851,                0.76965,                0.72088,                0.60964,                0.56513,                0.80267,                   1.81,                 1.1136,             0.00077527,             0.00077527,             0.00077527
                      9,                0.60244,                 0.8251,                 1.5807,                 1.0361,                0.64113,                 0.6958,                0.75194,                0.63781,                0.63907,                0.69189,                0.74277,                0.62269,                0.53613,                 1.3189,                 1.3457,                 1.1099,             0.00076703,             0.00076703,             0.00076703
                     10,                0.62473,                0.87172,                 1.4898,                 1.0904,                0.66932,                0.78095,                0.80138,                0.68338,                0.66485,                0.76278,                0.77405,                0.64993,                0.54947,                 1.2088,                 1.7116,                 1.0919,             0.00075878,             0.00075878,             0.00075878
                     11,                0.55838,                0.84391,                 1.3585,                 1.0438,                0.65443,                0.85449,                0.82256,                0.70338,                0.65605,                0.86352,                0.81769,                0.71302,                0.55577,                0.92255,                  1.095,                 1.1396,             0.00075053,             0.00075053,             0.00075053
                     12,                0.57315,                0.79259,                 1.3999,                 1.0395,                0.61237,                0.82777,                0.75998,                0.64957,                0.60675,                0.80839,                0.75303,                0.64322,                0.53308,                 1.0389,                 1.3284,                  1.065,             0.00074229,             0.00074229,             0.00074229
                     13,                0.58557,                0.79999,                 1.3528,                 1.0472,                0.68934,                0.76936,                0.76641,                0.66509,                0.68934,                0.76936,                0.76428,                0.70739,                0.51051,                0.67312,                 1.4141,                 1.0513,             0.00073404,             0.00073404,             0.00073404
                     14,                0.58878,                 0.8259,                 1.3898,                 1.0444,                0.62921,                0.73946,                0.77617,                0.68272,                0.62091,                0.73616,                0.76973,                0.69146,                0.49856,                0.79331,                 1.2546,                 1.0503,             0.00072579,             0.00072579,             0.00072579
                     15,                0.55794,                0.83163,                 1.2896,                 1.0337,                0.70029,                0.85032,                0.85346,                0.74778,                0.70546,                0.85674,                 0.8545,                0.79634,                0.46721,                  0.632,                0.95892,                 1.0188,             0.00071755,             0.00071755,             0.00071755
                     16,                0.53963,                0.75415,                 1.2551,                  1.015,                0.74889,                0.79617,                0.85362,                0.76406,                0.74627,                0.79772,                0.85248,                0.79437,                0.46944,                0.64157,                0.98909,                 1.0082,              0.0007093,              0.0007093,              0.0007093
                     17,                0.56703,                0.79012,                 1.2509,                 1.0232,                0.68662,                0.78752,                0.82072,                0.72283,                 0.6832,                0.76187,                0.81898,                0.73928,                0.50632,                0.76262,                 1.0543,                 1.0491,             0.00070105,             0.00070105,             0.00070105
